Date,source_uid,dest_uid,val,uid
2003-1,120,380,103485095,1
2003-1,153,356,18006551,2
2003-1,153,505,35145881,3
2003-1,153,695,198256500,4
2003-1,249,695,13047684,5
2003-1,272,356,7419686,6
2003-1,272,894,64823585,7
2003-1,309,18,2600946320,8
2003-1,309,565,26409609,9
2003-1,318,466,71354523,10
2003-1,658,216,1321710,11
2003-1,697,98,991282,12
2003-2,7,179,10774620,13
2003-2,99,770,19840303,14
2003-2,153,6,948139023,15
2003-2,153,22,5286840,16
2003-2,153,66,893037813,17
2003-2,153,85,162767531,18
2003-2,153,424,6260290,19
2003-2,153,442,552475,20
2003-2,153,522,1155746,21
2003-2,153,760,404852246,22
2003-2,241,774,18768282,23
2003-2,272,5,504231737,24
2003-2,272,87,8215948,25
2003-2,272,356,7319723,26
2003-2,309,26,211886727,27
2003-2,639,125,13217100,28
2003-2,639,309,9251970,29
2003-2,670,246,15860520,30
2003-2,695,247,5947695,31
2003-3,22,153,24707584,32
2003-3,100,485,118930362,33
2003-3,100,509,429514356,34
2003-3,103,497,1806200,35
2003-3,120,916,1819347,36
2003-3,153,42,463933493,37
2003-3,153,356,361239997,38
2003-3,153,378,3508815,39
2003-3,153,389,2348060,40
2003-3,153,478,1586052,41
2003-3,153,497,21104426,42
2003-3,153,522,1108047,43
2003-3,153,760,9934100,44
2003-3,213,497,45429921,45
2003-3,215,914,13645103,46
2003-3,224,437,44755937,47
2003-3,272,15,5947695,48
2003-3,272,356,369348952,49
2003-3,272,461,46168619,50
2003-3,272,894,194670132,51
2003-3,272,929,252867998,52
2003-3,309,429,118930362,53
2003-3,634,320,4824242,54
2003-3,638,209,21411702,55
2003-3,639,218,859111500,56
2003-3,686,263,9251970,57
2003-3,688,249,1057368,58
2003-3,695,296,39651300,59
2003-4,61,303,17830555,60
2003-4,100,429,1908674,61
2003-4,100,795,261051273,62
2003-4,103,774,793026,63
2003-4,103,792,793026,64
2003-4,153,61,127044953,65
2003-4,153,76,31519048,66
2003-4,153,368,2819354,67
2003-4,153,382,31232845,68
2003-4,153,484,87017,69
2003-4,153,491,2643420,70
2003-4,153,597,8223196,71
2003-4,153,801,185039,72
2003-4,184,781,5205474,73
2003-4,210,695,1399693,74
2003-4,215,78,7401576,75
2003-4,216,695,4199079,76
2003-4,241,497,10442051,77
2003-4,272,68,6208918,78
2003-4,272,356,517290928,79
2003-4,272,392,3499233,80
2003-4,272,433,3039933,81
2003-4,272,442,242917886,82
2003-4,272,574,92519700,83
2003-4,272,579,8155243,84
2003-4,272,795,97459142,85
2003-4,272,914,17496163,86
2003-4,309,22,158340271,87
2003-4,545,100,1034898930,88
2003-4,632,279,5286840,89
2003-4,639,218,13877955,90
2003-4,648,153,47978073,91
2003-4,695,296,2643420,92
