region,country,state,city,lat,lon,uid
Oceania,Australia,Australian Capital Territory,Canberra,-35.283,149.128,1
Oceania,Australia,New South Wales,Cargo,-33.424,148.809,2
Oceania,Australia,New South Wales,Casino,-28.858,153.047,3
Oceania,Australia,New South Wales,Henty,-35.521,147.034,4
Oceania,Australia,New South Wales,Lake Cowal,-33.605,147.44,5
Oceania,Australia,New South Wales,Lue,-32.651,149.849,6
Oceania,Australia,New South Wales,Mass Vale,-34.55,150.387,7
Oceania,Australia,New South Wales,Muswellbrook,-32.261,150.89,8
Oceania,Australia,New South Wales,Narrabri,-30.325,149.783,9
Oceania,Australia,New South Wales,Newcastle,-32.93,151.78,10
Oceania,Australia,New South Wales,Sydney,-33.868,151.207,11
Oceania,Australia,New South Wales,Temora,-34.445,147.536,12
Oceania,Australia,New South Wales,,,,13
Oceania,Australia,Northern Territory,Alice Springs,-23.697,133.884,14
Oceania,Australia,Northern Territory,Barrow Creek,-21.38,133.976,15
Oceania,Australia,Northern Territory,Borroloola,-16.07,136.307,16
Oceania,Australia,Northern Territory,Darwin,-12.398,130.882,17
Oceania,Australia,Northern Territory,Gove Peninsula,-12.333,136.817,18
Oceania,Australia,Northern Territory,Mount Thomas,-34.441,150.872,19
Oceania,Australia,Northern Territory,Pine Creek,-13.823,131.833,20
Oceania,Australia,Northern Territory,,,,21
Oceania,Australia,Queensland,Brisbane,-27.468,153.028,22
Oceania,Australia,Queensland,Cairns,-16.924,145.766,23
Oceania,Australia,Queensland,Cloncurry,-20.707,140.513,24
Oceania,Australia,Queensland,Georgetown,5.424,100.322,25
Oceania,Australia,Queensland,Gladstone,-33.267,138.357,26
Oceania,Australia,Queensland,Gold Coast,-28,153.431,27
Oceania,Australia,Queensland,Longreach,-23.442,144.249,28
Oceania,Australia,Queensland,Mackay,-21.153,149.166,29
Oceania,Australia,Queensland,Milton,-27.469,153.006,30
Oceania,Australia,Queensland,Mount Hogan,-31.133,121.915,31
Oceania,Australia,Queensland,Mount Isa,-20.725,139.497,32
Oceania,Australia,Queensland,Northwest Queensland,-20.918,142.703,33
Oceania,Australia,Queensland,Redland City,-27.552,153.256,34
Oceania,Australia,Queensland,Reedy Creek,-28.112,153.396,35
Oceania,Australia,Queensland,Richlands,-27.588,152.954,36
Oceania,Australia,Queensland,Southport,-27.974,151.418,37
Oceania,Australia,Queensland,Surat,-27.152,149.067,38
Oceania,Australia,Queensland,Thargomindah,-27.994,143.823,39
Oceania,Australia,Queensland,Toowoomba,-27.561,151.954,40
Oceania,Australia,Queensland,,,,41
Oceania,Australia,South Australia,Adelaide,-34.929,138.599,42
Oceania,Australia,South Australia,Barton Siding,-30.52,132.658,43
Oceania,Australia,South Australia,Bowmans,-34.161,138.303,44
Oceania,Australia,South Australia,Burnside,-34.938,138.666,45
Oceania,Australia,South Australia,Carrapateena,-31.258,137.482,46
Oceania,Australia,South Australia,Crafers,-35,138.7,47
